Profile_Id,Profile_Name,Profile_Link
159,Christopher Atkin,https://pureportal.coventry.ac.uk/en/persons/christopher-atkin
160,Lauren Atkins,https://pureportal.coventry.ac.uk/en/persons/lauren-atkins
161,Samantha Atkins,https://pureportal.coventry.ac.uk/en/persons/samantha-atkins
162,Nina Atkinson,https://pureportal.coventry.ac.uk/en/persons/nina-atkinson
163,Shalika Atlas,https://pureportal.coventry.ac.uk/en/persons/shalika-atlas
164,Vani Aul,https://pureportal.coventry.ac.uk/en/persons/vani-aul
165,Randhir Auluck,https://pureportal.coventry.ac.uk/en/persons/randhir-auluck
166,Kristin Aune,https://pureportal.coventry.ac.uk/en/persons/kristin-aune
167,Elicia Austin,https://pureportal.coventry.ac.uk/en/persons/elicia-austin
168,Stephen Austin,https://pureportal.coventry.ac.uk/en/persons/stephen-austin
169,Melissa Avdeeff,https://pureportal.coventry.ac.uk/en/persons/melissa-avdeeff
170,Simone Salvatore Aveni,https://pureportal.coventry.ac.uk/en/persons/simone-salvatore-aveni
171,Kenny Awuson - David,https://pureportal.coventry.ac.uk/en/persons/kenny-awuson-david
172,Mark Axon,https://pureportal.coventry.ac.uk/en/persons/mark-axon
173,Haseeb Ayaz,https://pureportal.coventry.ac.uk/en/persons/haseeb-ayaz
174,Rami Ayoubi,https://pureportal.coventry.ac.uk/en/persons/rami-ayoubi
175,Rana Aytug,https://pureportal.coventry.ac.uk/en/persons/rana-aytug
176,Hoor Ayub,https://pureportal.coventry.ac.uk/en/persons/hoor-ayub
177,Evronia Azer,https://pureportal.coventry.ac.uk/en/persons/evronia-azer
178,Farzaneh Azizsafaei,https://pureportal.coventry.ac.uk/en/persons/farzaneh-azizsafaei
179,Maryam Azizsafaei,https://pureportal.coventry.ac.uk/en/persons/maryam-azizsafaei
180,Zaneta Azuma,https://pureportal.coventry.ac.uk/en/persons/zaneta-azuma
181,Gbolahan Olusegun Babalola,https://pureportal.coventry.ac.uk/en/persons/gbolahan-olusegun-babalola
182,Abiola Babatunde,https://pureportal.coventry.ac.uk/en/persons/abiola-babatunde
183,Rachel Backhouse,https://pureportal.coventry.ac.uk/en/persons/rachel-backhouse
184,Simon Baddeley,https://pureportal.coventry.ac.uk/en/persons/simon-baddeley
185,Echekwumemchukwu Emmanuel Badifu,https://pureportal.coventry.ac.uk/en/persons/echekwumemchukwu-emmanuel-badifu
186,Meghdad Bagheri,https://pureportal.coventry.ac.uk/en/persons/meghdad-bagheri
187,Nim Bahia,https://pureportal.coventry.ac.uk/en/persons/nim-bahia
